[12/40][100/504]	Loss_D: 1.8937	Loss_G: 1.1068	D(x): 0.3249	D(G(z)): 0.0860 / 0.4614
[12/40][150/504]	Loss_D: 0.2666	Loss_G: 4.8420	D(x): 0.9419	D(G(z)): 0.1591 / 0.0172
[12/40][200/504]	Loss_D: 0.2985	Loss_G: 3.3427	D(x): 0.7920	D(G(z)): 0.0212 / 0.0759
[12/40][250/504]	Loss_D: 0.2210	Loss_G: 4.6904	D(x): 0.9625	D(G(z)): 0.1463 / 0.0157
[12/40][300/504]	Loss_D: 0.2235	Loss_G: 4.5131	D(x): 0.9568	D(G(z)): 0.1429 / 0.0188
[12/40][350/504]	Loss_D: 0.1491	Loss_G: 4.0235	D(x): 0.9309	D(G(z)): 0.0603 / 0.0315
[12/40][400/504]	Loss_D: 0.2847	Loss_G: 3.0326	D(x): 0.8002	D(G(z)): 0.0143 / 0.1097
[12/40][450/504]	Loss_D: 0.2918	Loss_G: 5.2311	D(x): 0.9479	D(G(z)): 0.1622 / 0.0108
[12/40][500/504]	Loss_D: 0.7334	Loss_G: 5.5751	D(x): 0.9279	D(G(z)): 0.3613 / 0.0091
[13/40][0/504]	Loss_D: 0.2428	Loss_G: 5.3268	D(x): 0.9328	D(G(z)): 0.1238 / 0.0200
[13/40][50/504]	Loss_D: 0.1681	Loss_G: 5.5391	D(x): 0.9745	D(G(z)): 0.1122 / 0.0070
[13/40][100/504]	Loss_D: 0.2056	Loss_G: 4.3707	D(x): 0.9204	D(G(z)): 0.0963 / 0.0284
[13/40][150/504]	Loss_D: 0.2662	Loss_G: 5.8926	D(x): 0.9600	D(G(z)): 0.1618 / 0.0058
[13/40][200/504]	Loss_D: 0.1379	Loss_G: 5.1038	D(x): 0.9668	D(G(z)): 0.0864 / 0.0106
[13/40][250/504]	Loss_D: 0.1170	Loss_G: 4.9321	D(x): 0.9576	D(G(z)): 0.0622 / 0.0147
[13/40][300/504]	Loss_D: 0.8782	Loss_G: 2.1137	D(x): 0.6712	D(G(z)): 0.1671 / 0.3058
[13/40][350/504]	Loss_D: 0.1832	Loss_G: 4.8876	D(x): 0.9540	D(G(z)): 0.1052 / 0.0146
[13/40][400/504]	Loss_D: 0.1512	Loss_G: 4.7828	D(x): 0.9633	D(G(z)): 0.0900 / 0.0170
[13/40][450/504]	Loss_D: 0.1203	Loss_G: 4.5631	D(x): 0.9359	D(G(z)): 0.0449 / 0.0202
[13/40][500/504]	Loss_D: 0.8378	Loss_G: 6.7348	D(x): 0.9245	D(G(z)): 0.3853 / 0.0082
[14/40][0/504]	Loss_D: 0.3870	Loss_G: 3.6806	D(x): 0.8233	D(G(z)): 0.0998 / 0.0570
[14/40][50/504]	Loss_D: 0.1482	Loss_G: 4.1435	D(x): 0.9641	D(G(z)): 0.0920 / 0.0265
[14/40][100/504]	Loss_D: 0.1634	Loss_G: 4.5651	D(x): 0.9639	D(G(z)): 0.1058 / 0.0181
[14/40][150/504]	Loss_D: 0.1385	Loss_G: 4.1782	D(x): 0.9198	D(G(z)): 0.0362 / 0.0315
[14/40][200/504]	Loss_D: 0.7105	Loss_G: 4.8270	D(x): 0.9135	D(G(z)): 0.3767 / 0.0145
[14/40][250/504]	Loss_D: 1.5984	Loss_G: 8.1381	D(x): 0.9747	D(G(z)): 0.6609 / 0.0019
[14/40][300/504]	Loss_D: 0.2865	Loss_G: 3.6064	D(x): 0.8570	D(G(z)): 0.0767 / 0.0503
[14/40][350/504]	Loss_D: 0.2474	Loss_G: 4.5079	D(x): 0.9402	D(G(z)): 0.1348 / 0.0191
[14/40][400/504]	Loss_D: 0.0638	Loss_G: 5.0312	D(x): 0.9609	D(G(z)): 0.0209 / 0.0154
[14/40][450/504]	Loss_D: 0.0945	Loss_G: 4.6662	D(x): 0.9676	D(G(z)): 0.0545 / 0.0186
[14/40][500/504]	Loss_D: 1.4865	Loss_G: 3.2078	D(x): 0.6765	D(G(z)): 0.2979 / 0.1613
[15/40][0/504]	Loss_D: 0.7912	Loss_G: 3.0281	D(x): 0.7111	D(G(z)): 0.2168 / 0.1295
[15/40][50/504]	Loss_D: 0.9069	Loss_G: 5.9215	D(x): 0.9429	D(G(z)): 0.4239 / 0.0131
[15/40][100/504]	Loss_D: 0.1441	Loss_G: 4.9827	D(x): 0.9414	D(G(z)): 0.0665 / 0.0129
[15/40][150/504]	Loss_D: 0.3007	Loss_G: 2.3305	D(x): 0.7855	D(G(z)): 0.0156 / 0.2012
[15/40][200/504]	Loss_D: 0.1439	Loss_G: 4.6756	D(x): 0.9550	D(G(z)): 0.0809 / 0.0171
[15/40][250/504]	Loss_D: 0.1732	Loss_G: 3.3588	D(x): 0.8899	D(G(z)): 0.0347 / 0.0891
[15/40][300/504]	Loss_D: 0.2439	Loss_G: 5.4995	D(x): 0.9211	D(G(z)): 0.1232 / 0.0149
